annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist,stat_unreviewed_annotations,stat_hot,stat_pageviews,primary_artist_api_path,primary_artist_header_image_url,primary_artist_id,primary_artist_image_url,primary_artist_is_meme_verified,primary_artist_is_verified,primary_artist_name,primary_artist_url,primary_artist_iq,stat_concurrents
20,/songs/203259,Slowdive,When the Sun Hits by Slowdive,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,203259,208752,complete,/Slowdive-when-the-sun-hits-lyrics,31.0,https://genius.com/Slowdive-when-the-sun-hits-sample,"{'year': 1993, 'month': 5, 'day': 17}","May 17, 1993","May. 17, 1993",https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,"{'unreviewed_annotations': 17, 'hot': False, 'pageviews': 179378}",When the Sun Hits,When the Sun Hits,https://genius.com/Slowdive-when-the-sun-hits-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",17,False,179378.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
14,/songs/202625,Slowdive,Alison by Slowdive,https://images.genius.com/bb87963b8240f24a9896dcef6b7588b0.300x300x1.jpg,https://images.genius.com/bb87963b8240f24a9896dcef6b7588b0.1000x1000x1.jpg,202625,208752,complete,/Slowdive-alison-lyrics,31.0,https://genius.com/Slowdive-alison-sample,"{'year': 1993, 'month': 5, 'day': 17}","May 17, 1993","May. 17, 1993",https://images.genius.com/14b27bb27bf19b8b9f955be55a8941e9.300x297x1.jpg,https://images.genius.com/14b27bb27bf19b8b9f955be55a8941e9.599x593x1.jpg,"{'unreviewed_annotations': 6, 'hot': False, 'pageviews': 162929}",Alison,Alison,https://genius.com/Slowdive-alison-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",6,False,162929.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
8,/songs/3037643,Slowdive,Sugar for the Pill by Slowdive,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.300x300x1.jpg,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.1000x1000x1.jpg,3037643,2790115,complete,/Slowdive-sugar-for-the-pill-lyrics,27.0,https://genius.com/Slowdive-sugar-for-the-pill-sample,"{'year': 2017, 'month': 3, 'day': 28}","March 28, 2017","Mar. 28, 2017",https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.300x300x1.jpg,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.1000x1000x1.jpg,"{'unreviewed_annotations': 5, 'hot': False, 'pageviews': 114407}",Sugar for the Pill,Sugar for the Pill,https://genius.com/Slowdive-sugar-for-the-pill-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",5,False,114407.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
8,/songs/203266,Slowdive,Dagger by Slowdive,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,203266,208752,complete,/Slowdive-dagger-lyrics,19.0,https://genius.com/Slowdive-dagger-sample,"{'year': 1993, 'month': 5, 'day': 17}","May 17, 1993","May. 17, 1993",https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,"{'unreviewed_annotations': 4, 'hot': False, 'pageviews': 79493}",Dagger,Dagger,https://genius.com/Slowdive-dagger-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",4,False,79493.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
5,/songs/202630,Slowdive,Machine Gun by Slowdive,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,202630,208752,complete,/Slowdive-machine-gun-lyrics,16.0,https://genius.com/Slowdive-machine-gun-sample,"{'year': 1993, 'month': 5, 'day': 17}","May 17, 1993","May. 17, 1993",https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,"{'unreviewed_annotations': 4, 'hot': False, 'pageviews': 64212}",Machine Gun,Machine Gun,https://genius.com/Slowdive-machine-gun-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",4,False,64212.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
6,/songs/202635,Slowdive,40 Days by Slowdive,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,202635,208752,complete,/Slowdive-40-days-lyrics,10.0,https://genius.com/Slowdive-40-days-sample,"{'year': 1993, 'month': 5, 'day': 17}","May 17, 1993","May. 17, 1993",https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.300x300x1.png,https://images.genius.com/613951a3d80e01e9c6217c750b4d0cb0.1000x1000x1.png,"{'unreviewed_annotations': 4, 'hot': False, 'pageviews': 62875}",40 Days,40 Days,https://genius.com/Slowdive-40-days-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",4,False,62875.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
2,/songs/2954669,Slowdive,Star Roving by Slowdive,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.300x300x1.jpg,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.1000x1000x1.jpg,2954669,3264970,complete,/Slowdive-star-roving-lyrics,8.0,https://genius.com/Slowdive-star-roving-sample,"{'year': 2017, 'month': 1, 'day': 12}","January 12, 2017","Jan. 12, 2017",https://f4.bcbits.com/img/a2968716570_10.jpg,https://f4.bcbits.com/img/a2968716570_10.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 43531}",Star Roving,Star Roving,https://genius.com/Slowdive-star-roving-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",2,False,43531.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
4,/songs/3037679,Slowdive,Slomo by Slowdive,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.300x300x1.jpg,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.1000x1000x1.jpg,3037679,5975883,complete,/Slowdive-slomo-lyrics,3.0,https://genius.com/Slowdive-slomo-sample,"{'year': 2017, 'month': 5, 'day': 5}","May 5, 2017","May. 5, 2017",https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.300x300x1.jpg,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.1000x1000x1.jpg,"{'unreviewed_annotations': 4, 'hot': False, 'pageviews': 43471}",Slomo,Slomo,https://genius.com/Slowdive-slomo-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",4,False,43471.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
2,/songs/203257,Slowdive,Souvlaki Space Station by Slowdive,https://images.genius.com/bb87963b8240f24a9896dcef6b7588b0.300x300x1.jpg,https://images.genius.com/bb87963b8240f24a9896dcef6b7588b0.1000x1000x1.jpg,203257,208752,complete,/Slowdive-souvlaki-space-station-lyrics,10.0,https://genius.com/Slowdive-souvlaki-space-station-sample,"{'year': 1993, 'month': 5, 'day': 17}","May 17, 1993","May. 17, 1993",https://images.genius.com/14b27bb27bf19b8b9f955be55a8941e9.300x297x1.jpg,https://images.genius.com/14b27bb27bf19b8b9f955be55a8941e9.599x593x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 50211}",Souvlaki Space Station,Souvlaki Space Station,https://genius.com/Slowdive-souvlaki-space-station-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",0,False,50211.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
2,/songs/3037684,Slowdive,No Longer Making Time by Slowdive,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.300x300x1.jpg,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.1000x1000x1.jpg,3037684,387897,complete,/Slowdive-no-longer-making-time-lyrics,5.0,https://genius.com/Slowdive-no-longer-making-time-sample,"{'year': 2017, 'month': 5, 'day': 5}","May 5, 2017","May. 5, 2017",https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.300x300x1.jpg,https://images.genius.com/d156d498dffc196f9eb5cc6b7fe24940.1000x1000x1.jpg,"{'unreviewed_annotations': 2, 'hot': False, 'pageviews': 38685}",No Longer Making Time,No Longer Making Time,https://genius.com/Slowdive-no-longer-making-time-lyrics,[],"{'api_path': '/artists/65120', 'header_image_url': 'https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg', 'id': 65120, 'image_url': 'https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Slowdive', 'url': 'https://genius.com/artists/Slowdive'}",2,False,38685.0,/artists/65120,https://images.genius.com/6132fdffab2b30a0b70eb46b6d875570.1000x667x1.jpg,65120,https://images.genius.com/af1be5ab88d7e05df2039005fd0ee97a.669x669x1.jpg,False,False,Slowdive,https://genius.com/artists/Slowdive,,
